
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="polity2",="polity2",="polity2",="polity2",="polity2",="polity2"

="L.ln_gdp_pk",="2.156***",="2.135***",="2.124***",="2.064***",="-1.556***",="-1.556***"
="",="(0.068)",="(0.070)",="(0.222)",="(0.069)",="(0.240)",="(0.240)"

="R-sq",="0.196",="0.195",="0.765",="0.235",="0.819",="0.819"
="N",="4095",="3983",="3983",="3983",="3983",="3983"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="polity2",="polity2",="polity2",="polity2",="polity2",="polity2"

="ln_gdp_pk",="2.216***",="2.206***",="2.677***",="2.123***",="-1.541***",="-1.541***"
="",="(0.140)",="(0.143)",="(0.472)",="(0.139)",="(0.500)",="(0.500)"

="R-sq",="0.208",="0.208",="0.758",="0.259",="0.825",="0.824"
="N",="957",="957",="957",="957",="957",="954"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
