="",="(1)",="",="",="",=""
="",=".",="",="",="",=""
="",="mean",="sd",="min",="max",="Obs"
="2005",="",="",="",="",=""
="Level of confidence in stategovt",=".7647702",=".4241534",="0",="1",=""
="Level of confidence in villagegovt",=".804939",=".3962579",="0",="1",=""
="Level of confidence in politicians",=".4188809",=".4933887",="0",="1",=""
="Conflict: community",=".1449411",=".3520506",="0",="1",=""
="Conflict: amount",=".0447536",=".2067678",="0",="1",=""
="Cooperation during water shortage",=".5790872",=".4937185",="0",="1",=""
="Level of confidence in politicians",=".4188809",=".4933887",="0",="1",=""
="Level of confidence in stategovt",=".7647702",=".4241534",="0",="1",=""
="Level of confidence in villagegovt",=".804939",=".3962579",="0",="1",=""
="Irrigation, pre-treatment",=".2444514",=".4297727",="0",="1",=""
="Average nighlight intensity, pre-treatment",="6.60908",="9.310096",=".0809501",="62.4648",=""
="Household sex",="1.090028",=".2862295",="1",="2",=""
="Household head: urban",=".7126706",=".4525283",="0",="1",=""
="2012",="",="",="",="",=""
="Level of confidence in stategovt",=".7924212",=".4055838",="0",="1",=""
="Level of confidence in villagegovt",=".802238",=".3983218",="0",="1",=""
="Level of confidence in politicians",=".4858596",=".4998127",="0",="1",=""
="Conflict: community",=".1251272",=".3308715",="0",="1",=""
="Conflict: amount",=".0912513",=".2879734",="0",="1",=""
="Cooperation during water shortage",=".7358596",=".4408856",="0",="1",=""
="Level of confidence in politicians",=".4858596",=".4998127",="0",="1",=""
="Level of confidence in stategovt",=".7924212",=".4055838",="0",="1",=""
="Level of confidence in villagegovt",=".802238",=".3983218",="0",="1",=""
="Irrigation, pre-treatment",=".2427263",=".4287419",="0",="1",=""
="Average nighlight intensity, pre-treatment",="9.002688",="10.49374",=".098526",="62.88403",=""
="Household sex",="1.144507",=".3516116",="1",="2",=""
="Household head: urban",=".6808749",=".4661495",="0",="1",=""
="Total",="",="",="",="",=""
="Level of confidence in stategovt",=".7787615",=".4150861",="0",="1",=""
="Level of confidence in villagegovt",=".8035723",=".3973008",="0",="1",=""
="Level of confidence in politicians",=".4527719",=".4977709",="0",="1",=""
="Conflict: community",=".1349153",=".3416375",="0",="1",=""
="Conflict: amount",=".0682813",=".2522312",="0",="1",=""
="Cooperation during water shortage",=".6584135",=".4742478",="0",="1",=""
="Level of confidence in politicians",=".4527719",=".4977709",="0",="1",=""
="Level of confidence in stategovt",=".7787615",=".4150861",="0",="1",=""
="Level of confidence in villagegovt",=".8035723",=".3973008",="0",="1",=""
="Irrigation, pre-treatment",=".2435785",=".4292467",="0",="1",=""
="Average nighlight intensity, pre-treatment",="7.820238",="9.998421",=".0809501",="62.88403",=""
="Household sex",="1.117594",=".322131",="1",="2",=""
="Household head: urban",=".6965821",=".4597401",="0",="1",=""
="Observations",="38854",="",="",="",=""
